redundant	header
FBgn0085425	FBgn0085425
FBgn0085434	FBgn0085434
FBgn0086693	FBgn0086693
FBgn0086778	FBgn0086778
FBgn0259145	FBgn0259145
FBgn0259150	FBgn0259150
FBgn0259185	FBgn0259185
FBgn0259187	FBgn0259187
FBgn0259188	FBgn0259188
FBgn0259189	FBgn0259189
FBgn0259190	FBgn0259190
FBgn0259193	FBgn0259193
FBgn0259194	FBgn0259194
FBgn0259215	FBgn0259215
FBgn0259242	FBgn0259242
FBgn0259683	FBgn0259683
FBgn0259822	FBgn0259822
FBgn0260005	FBgn0260005
FBgn0260453	FBgn0260453
FBgn0260454	FBgn0260454
FBgn0260874	FBgn0260874
FBgn0260971	FBgn0260971
FBgn0261041	FBgn0261041
FBgn0261361	FBgn0261361
FBgn0261401	FBgn0261401
FBgn0261402	FBgn0261402
FBgn0261444	FBgn0261444
FBgn0261612	FBgn0261612
FBgn0261698	FBgn0261698
FBgn0261722	FBgn0261722
FBgn0261999	FBgn0261999
FBgn0262515	FBgn0262515
FBgn0262516	FBgn0262516
FBgn0262593	FBgn0262593
FBgn0262685	FBgn0262685
FBgn0263111	FBgn0263111
FBgn0263220	FBgn0263220
FBgn0263257	FBgn0263257
FBgn0263397	FBgn0263397
FBgn0264000	FBgn0264000
FBgn0264386	FBgn0264386
FBgn0264908	FBgn0264908
FBgn0264953	FBgn0264953
FBgn0265001	FBgn0265001
FBgn0265042	FBgn0265042
FBgn0265194	FBgn0265194
FBgn0265767	FBgn0265767
FBgn0266346	FBgn0266346
FBgn0266347	FBgn0266347
FBgn0267430	FBgn0267430
FBgn0267796	FBgn0267796
FBgn0285944	FBgn0285944
