redundant	header
FBgn0036235	FBgn0036235
FBgn0033244	FBgn0033244
FBgn0005564	FBgn0005564
FBgn0024236	FBgn0024236
FBgn0031865	FBgn0031865
FBgn0086693	FBgn0086693
FBgn0005614	FBgn0005614
FBgn0035458	FBgn0035458
FBgn0032314	FBgn0032314
FBgn0030844	FBgn0030844
FBgn0004118	FBgn0004118
FBgn0085434	FBgn0085434
FBgn0030795	FBgn0030795
FBgn0260812	FBgn0260812
FBgn0011589	FBgn0011589
FBgn0261612	FBgn0261612
FBgn0032593	FBgn0032593
FBgn0052446	FBgn0052446
FBgn0038840	FBgn0038840
FBgn0037324	FBgn0037324
FBgn0053508	FBgn0053508
FBgn0260222	FBgn0260222
FBgn0033257	FBgn0033257
FBgn0030707	FBgn0030707
FBgn0000037	FBgn0000037
FBgn0085350	FBgn0085350
FBgn0052704	FBgn0052704
FBgn0036566	FBgn0036566
FBgn0031187	FBgn0031187
FBgn0028422	FBgn0028422
FBgn0027589	FBgn0027589
FBgn0038053	FBgn0038053
FBgn0010414	FBgn0010414
FBgn0029966	FBgn0029966
FBgn0030351	FBgn0030351
FBgn0050468	FBgn0050468
FBgn0040849	FBgn0040849
FBgn0041585	FBgn0041585
FBgn0263111	FBgn0263111
FBgn0262467	FBgn0262467
FBgn0034497	FBgn0034497
FBgn0045073	FBgn0045073
FBgn0035604	FBgn0035604
FBgn0036492	FBgn0036492
FBgn0259145	FBgn0259145
FBgn0264255	FBgn0264255
FBgn0259247	FBgn0259247
